0.015625	2518485
0.046875	2442772
0.078125	2366565
0.109375	2296625
0.140625	2225066
0.171875	2155595
0.203125	2089859
0.234375	2023646
0.265625	1963712
0.296875	1902691
0.328125	1844641
0.359375	1788277
0.390625	1733011
0.421875	1677750
0.453125	1627602
0.484375	1578233
0.515625	1527338
0.546875	1482140
0.578125	1437317
0.609375	1392693
0.640625	1348861
0.671875	1307198
0.703125	1267096
0.734375	1230350
0.765625	1189177
0.796875	1154259
0.828125	1118688
0.859375	1084065
0.890625	1051217
0.921875	1018430
0.953125	987869
0.984375	957107
1.015625	927917
1.046875	897336
1.078125	872279
1.109375	843709
1.140625	818210
1.171875	792481
1.203125	769192
1.234375	745640
1.265625	722953
1.296875	699343
1.328125	679342
1.359375	658784
1.390625	636094
1.421875	617582
1.453125	598073
1.484375	579611
1.515625	563062
1.546875	545064
1.578125	527790
1.609375	511482
1.640625	495890
1.671875	480291
1.703125	466372
1.734375	451137
1.765625	437688
1.796875	424350
1.828125	411758
1.859375	398753
1.890625	386375
1.921875	374571
1.953125	362614
1.984375	352971
2.015625	341498
2.046875	329837
2.078125	320510
2.109375	310642
2.140625	301282
2.171875	292160
2.203125	283218
2.234375	274350
2.265625	265251
2.296875	256942
2.328125	249267
2.359375	242394
2.390625	234137
2.421875	227908
2.453125	220186
2.484375	213985
2.515625	207546
2.546875	200684
2.578125	193608
2.609375	188736
2.640625	182479
2.671875	176359
2.703125	170761
2.734375	166550
2.765625	161042
2.796875	156060
2.828125	151337
2.859375	146326
2.890625	141910
2.921875	138240
2.953125	133204
2.984375	129938
3.015625	125085
3.046875	121694
3.078125	118178
3.109375	114401
3.140625	110529
3.171875	107435
3.203125	103819
3.234375	100466
3.265625	97279
3.296875	94754
3.328125	91288
3.359375	88514
3.390625	86494
3.421875	83344
3.453125	80587
3.484375	78220
3.515625	76028
3.546875	73837
3.578125	71122
3.609375	69069
3.640625	67125
3.671875	65094
3.703125	63094
3.734375	61590
3.765625	59331
3.796875	57560
3.828125	55927
3.859375	54170
3.890625	52121
3.921875	50096
3.953125	49059
3.984375	47216
4.015625	46438
4.046875	45070
4.078125	43483
4.109375	42159
4.140625	40563
4.171875	39500
4.203125	37976
4.234375	36924
4.265625	36100
4.296875	34413
4.328125	33681
4.359375	33057
4.390625	31897
4.421875	30768
4.453125	29770
4.484375	29169
4.515625	27960
4.546875	27298
4.578125	26580
4.609375	25577
4.640625	24534
4.671875	23922
4.703125	23066
4.734375	22477
4.765625	21870
4.796875	21081
4.828125	20272
4.859375	19738
4.890625	19259
4.921875	18587
4.953125	18231
4.984375	17473
5.015625	16976
5.046875	16349
5.078125	15812
5.109375	15679
5.140625	15213
5.171875	14435
5.203125	14069
5.234375	13723
5.265625	13236
5.296875	12904
5.328125	12481
5.359375	11984
5.390625	11716
5.421875	11376
5.453125	10832
5.484375	10537
5.515625	10131
5.546875	10102
5.578125	9713
5.609375	9385
5.640625	9210
5.671875	8728
5.703125	8344
5.734375	8257
5.765625	8108
5.796875	7762
5.828125	7538
5.859375	7418
5.890625	6927
5.921875	6844
5.953125	6708
5.984375	6423
6.015625	6147
6.046875	6016
6.078125	5920
6.109375	5651
6.140625	5441
6.171875	5313
6.203125	5114
6.234375	5010
6.265625	4866
6.296875	4765
6.328125	4528
6.359375	4401
6.390625	4333
6.421875	4193
6.453125	4105
6.484375	3864
6.515625	3657
6.546875	3636
6.578125	3553
6.609375	3485
6.640625	3378
6.671875	3258
6.703125	3196
6.734375	2977
6.765625	2900
6.796875	2855
6.828125	2768
6.859375	2558
6.890625	2527
6.921875	2553
6.953125	2436
6.984375	2323
7.015625	2346
7.046875	2251
7.078125	2138
7.109375	2121
7.140625	2027
7.171875	2010
7.203125	1986
7.234375	1818
7.265625	1766
7.296875	1764
7.328125	1727
7.359375	1633
7.390625	1535
7.421875	1497
7.453125	1519
7.484375	1373
7.515625	1334
7.546875	1338
7.578125	1338
7.609375	1295
7.640625	1189
7.671875	1202
7.703125	1124
7.734375	1150
7.765625	1056
7.796875	1024
7.828125	1000
7.859375	995
7.890625	1010
7.921875	919
7.953125	868
7.984375	872
8.015625	850
8.046875	775
8.078125	820
8.109375	701
8.140625	767
8.171875	731
8.203125	688
8.234375	669
8.265625	642
8.296875	666
8.328125	595
8.359375	558
8.390625	587
8.421875	531
8.453125	531
8.484375	487
8.515625	547
8.546875	477
8.578125	480
8.609375	505
8.640625	446
8.671875	419
8.703125	442
8.734375	433
8.765625	393
8.796875	431
8.828125	371
8.859375	331
8.890625	335
8.921875	323
8.953125	340
8.984375	309
9.015625	335
9.046875	312
9.078125	288
9.109375	246
9.140625	290
9.171875	288
9.203125	251
9.234375	254
9.265625	259
9.296875	228
9.328125	197
9.359375	235
9.390625	204
9.421875	203
9.453125	220
9.484375	203
9.515625	179
9.546875	189
9.578125	169
9.609375	178
9.640625	170
9.671875	158
9.703125	169
9.734375	149
9.765625	145
9.796875	127
9.828125	133
9.859375	133
9.890625	136
9.921875	144
9.953125	117
9.984375	109
10.015625	105
10.046875	119
10.078125	89
10.109375	104
10.140625	112
10.171875	98
10.203125	97
10.234375	88
10.265625	80
10.296875	88
10.328125	100
